Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
6.9,3.8,8.7,2.8,1.8,2.99,1
5.3,3.5,8.0,4.2,3.0,2.75,0
5.1,3.9,9.2,1.2,4.6,2.67,0
6.5,2.1,7.2,1.7,6.5,2.88,1
8.1,0.6,6.5,2.2,6.6,3.51,2
6.0,2.1,8.0,0.3,7.6,2.85,1
8.0,0.7,5.3,5.7,4.3,3.08,2
8.4,1.8,5.6,3.0,5.2,3.2,2
5.2,3.6,6.3,4.0,4.9,2.82,0
7.7,0.7,9.8,4.5,1.3,2.76,1
9.7,3.6,8.0,2.5,0.2,3.43,2
6.9,1.1,9.1,2.1,4.8,2.97,1
6.4,2.2,5.7,4.8,4.9,2.82,2
5.0,3.3,8.5,4.4,2.8,2.87,0
8.9,0.3,6.8,0.7,7.3,3.4,2
6.7,0.3,6.6,2.0,8.4,3.2,1
8.6,2.6,9.4,1.6,1.8,3.36,2
8.8,2.2,8.9,2.0,2.1,3.19,2
7.6,1.7,5.1,0.6,9.0,3.16,2
6.6,2.0,9.5,1.5,4.4,2.93,1
7.1,3.0,6.1,0.5,7.3,2.9,1
9.6,3.2,8.2,2.6,0.4,3.34,2
9.0,0.7,9.5,2.6,2.2,3.21,2
6.1,1.7,9.1,5.2,1.9,2.85,1
5.0,2.0,7.1,1.3,8.6,2.68,0
9.7,1.3,7.6,3.8,1.6,3.29,2
6.8,3.9,9.8,0.9,2.6,2.64,1
6.4,0.1,8.0,3.0,6.5,2.95,1
5.3,1.1,9.5,1.4,6.7,2.79,0
9.9,1.0,8.4,3.6,1.1,3.25,2
6.2,2.9,6.8,3.8,4.3,3.05,1
5.5,3.3,6.6,1.1,7.5,3.26,0
5.2,2.4,8.4,0.1,7.9,2.47,0
8.2,0.7,8.5,2.3,4.3,3.24,2
9.7,0.6,6.7,0.7,6.3,3.62,2
9.1,2.2,7.6,1.2,3.9,3.12,2
5.5,3.6,9.5,3.4,2.0,2.58,0
8.6,3.6,9.4,1.9,0.5,3.03,2
8.2,0.3,5.8,5.4,4.3,3.29,2
5.0,0.6,7.7,4.2,6.5,2.61,0
8.3,0.9,8.6,1.4,4.8,3.48,2
8.2,3.4,8.3,2.3,1.8,3.07,2
5.5,1.5,6.3,1.5,9.2,2.81,0
9.5,2.5,9.0,1.5,1.5,3.49,2
